"Week","Day","Date","Time","Home","Away"
"8","Thu","2023-10-26","8:15PM","Tampa Bay Buccaneers","Buffalo Bills"
"8","Sun","2023-10-29","8:20PM","Chicago Bears","Los Angeles Chargers"
"8","Mon","2023-10-30","8:15PM","Las Vegas Raiders","Detroit Lions"
"9","Thu","2023-11-02","8:15PM","Tennessee Titans","Pittsburgh Steelers"
"9","Sun","2023-11-05","8:20PM","Buffalo Bills","Cincinnati Bengals"
"9","Mon","2023-11-06","8:15PM","Los Angeles Chargers","New York Jets"
"10","Thu","2023-11-09","8:15PM","Carolina Panthers","Chicago Bears"
"10","Sun","2023-11-12","8:20PM","New York Jets","Las Vegas Raiders"
"10","Mon","2023-11-13","8:15PM","Denver Broncos","Buffalo Bills"
"11","Thu","2023-11-16","8:15PM","Cincinnati Bengals","Baltimore Ravens"
"11","Sun","2023-11-19","8:20PM","Minnesota Vikings","Denver Broncos"
"11","Mon","2023-11-20","8:15PM","Philadelphia Eagles","Kansas City Chiefs"
"12","Thu","2023-11-23","8:20PM","San Francisco 49ers","Seattle Seahawks"
"12","Sun","2023-11-26","8:20PM","Baltimore Ravens","Los Angeles Chargers"
"12","Mon","2023-11-27","8:15PM","Chicago Bears","Minnesota Vikings"
"13","Thu","2023-11-30","8:15PM","Seattle Seahawks","Dallas Cowboys"
"13","Sun","2023-12-03","8:20PM","Kansas City Chiefs","Green Bay Packers"
"13","Mon","2023-12-04","8:15PM","Cincinnati Bengals","Jacksonville Jaguars"
"14","Thu","2023-12-07","8:15PM","New England Patriots","Pittsburgh Steelers"
"14","Sun","2023-12-10","8:20PM","Philadelphia Eagles","Dallas Cowboys"
"14","Mon","2023-12-11","8:15PM","Green Bay Packers","New York Giants"
"14","Mon","2023-12-11","8:15PM","Tennessee Titans","Miami Dolphins"
"15","Thu","2023-12-14","8:15PM","Los Angeles Chargers","Las Vegas Raiders"
"15","Sun","2023-12-17","8:20PM","Baltimore Ravens","Jacksonville Jaguars"
"15","Mon","2023-12-18","8:15PM","Kansas City Chiefs","New England Patriots"
"16","Thu","2023-12-21","8:15PM","New Orleans Saints","Los Angeles Rams"
"16","Sat","2023-12-23","8:00PM","Buffalo Bills","Los Angeles Chargers"
"16","Sun","2023-12-24","8:15PM","New England Patriots","Denver Broncos"
"16","Mon","2023-12-25","8:15PM","Baltimore Ravens","San Francisco 49ers"
"17","Thu","2023-12-28","8:15PM","New York Jets","Cleveland Browns"
"17","Sat","2023-12-30","8:15PM","Detroit Lions","Dallas Cowboys"
"17","Sun","2023-12-31","8:20PM","Green Bay Packers","Minnesota Vikings"
