"Week","Day","Date","Time","Winner","Loser"
"1","Thu","2023-09-07","8:20PM","Detroit Lions","Kansas City Chiefs"
"1","Sun","2023-09-10","8:20PM","Dallas Cowboys","New York Giants"
"1","Mon","2023-09-11","8:15PM","New York Jets","Buffalo Bills"
"2","Thu","2023-09-14","8:15PM","Philadelphia Eagles","Minnesota Vikings"
"2","Sun","2023-09-17","8:20PM","Miami Dolphins","New England Patriots"
"2","Mon","2023-09-18","8:15PM","Pittsburgh Steelers","Cleveland Browns"
"3","Thu","2023-09-21","8:15PM","San Francisco 49ers","New York Giants"
"3","Sun","2023-09-24","8:20PM","Pittsburgh Steelers","Las Vegas Raiders"
"3","Mon","2023-09-25","8:15PM","Cincinnati Bengals","Los Angeles Rams"
"4","Thu","2023-09-28","8:15PM","Detroit Lions","Green Bay Packers"
"4","Sun","2023-10-01","8:20PM","Kansas City Chiefs","New York Jets"
"4","Mon","2023-10-02","8:15PM","Seattle Seahawks","New York Giants"
"5","Thu","2023-10-05","8:15PM","Chicago Bears","Washington Commanders"
"5","Sun","2023-10-08","8:20PM","San Francisco 49ers","Dallas Cowboys"
"5","Mon","2023-10-09","8:15PM","Las Vegas Raiders","Green Bay Packers"
"6","Thu","2023-10-12","8:15PM","Kansas City Chiefs","Denver Broncos"
"6","Sun","2023-10-15","8:20PM","Buffalo Bills","New York Giants"
"6","Mon","2023-10-16","8:15PM","Dallas Cowboys","Los Angeles Chargers"
"7","Thu","2023-10-19","8:15PM","Jacksonville Jaguars","New Orleans Saints"
"7","Sun","2023-10-22","8:20PM","Philadelphia Eagles","Miami Dolphins"
"7","Mon","2023-10-23","8:15PM","Minnesota Vikings","San Francisco 49ers"
"8","Thu","2023-10-26","8:15PM","Buffalo Bills","Tampa Bay Buccaneers"
"8","Sun","2023-10-29","8:20PM","Los Angeles Chargers","Chicago Bears"
"8","Mon","2023-10-30","8:15PM","Detroit Lions","Las Vegas Raiders"
"9","Thu","2023-11-02","8:15PM","Pittsburgh Steelers","Tennessee Titans"
"9","Sun","2023-11-05","8:20PM","Cincinnati Bengals","Buffalo Bills"
"9","Mon","2023-11-06","8:15PM","Los Angeles Chargers","New York Jets"
"10","Thu","2023-11-09","8:15PM","Chicago Bears","Carolina Panthers"
"10","Sun","2023-11-12","8:20PM","Las Vegas Raiders","New York Jets"
"10","Mon","2023-11-13","8:15PM","Denver Broncos","Buffalo Bills"
"11","Thu","2023-11-16","8:15PM","Baltimore Ravens","Cincinnati Bengals"
"11","Sun","2023-11-19","8:20PM","Denver Broncos","Minnesota Vikings"
"11","Mon","2023-11-20","8:15PM","Philadelphia Eagles","Kansas City Chiefs"
"12","Thu","2023-11-23","8:20PM","San Francisco 49ers","Seattle Seahawks"
"12","Sun","2023-11-26","8:20PM","Baltimore Ravens","Los Angeles Chargers"
"12","Mon","2023-11-27","8:15PM","Chicago Bears","Minnesota Vikings"
